MODEL_COD,filename_root,PRESENT
111761,1117610C9A00,YES
111761,1117610ZI900,YES
111762,1117620DDB00,YES
111762,1117620J5G00,YES
111762,1117620RHL00,YES
111763,11176306K300,YES
111763,1117630DDB00,YES
111763,1117630RHL00,YES
111764,1117640LHF00,YES
111764,1117640ZI900,YES
111765,1117650LHF00,YES
111766,11176602M200,YES
111766,1117660DDB00,YES
111767,111767009Q00,YES
111767,1117670EI700,YES
111767,1117670FWM00,YES
111768,1117680EI700,YES
111768,1117680FWM00,YES
111768,1117680MVU00,YES
111769,11176901ED00,YES
111769,1117690EI700,YES
111770,111770008A00,YES
111771,11177101ED00,YES
111771,1117710KB700,YES
111772,111772009Q00,YES
111772,11177201ED00,YES
111772,1117720PJP00,YES
111773,11177302M200,YES
111773,11177306KM00,YES
111773,1117730FT300,YES
111773,1117730NLB00,YES
111774,1117740I4600,YES
111774,1117740P5I00,YES
111775,11177501ED00,YES
111775,1117750FMP00,YES
111775,1117750KAC00,YES
111775,1117750KB700,YES
111776,11177601ED00,YES
111776,1117760KAC00,YES
111776,1117760KB700,YES
111777,1117770KB700,YES
111777,1117770PJP00,YES
111778,11177802M200,YES
111778,11177806KM00,YES
111778,1117780FX800,YES
111778,1117780VQ700,YES
111779,11177901ED00,YES
111779,1117790PJP00,YES
111780,11178002M200,YES
111780,11178006C500,YES
111780,1117800FX800,YES
111780,1117800R2Z00,YES
111781,1117810KB700,YES
111781,1117810PJP00,YES
111782,1117820KB700,YES
111782,1117820PJP00,YES
111783,1117830PJP00,YES
111784,111784009Q00,YES
111784,11178401ED00,YES
111784,1117840PJP00,YES
111785,1117850FLL00,YES
111785,1117850R8100,YES
111786,1117860AMC00,YES
111786,1117860I4600,YES
111786,1117860TI700,YES
111787,1117870KB700,YES
111787,1117870PJP00,YES
111788,1117880FLL00,YES
111788,1117880R8000,YES
111789,11178908CQ00,YES
111789,1117890KB700,YES
111789,1117890PJP00,YES
111796,1117960KJ100,YES
111796,1117960R8100,YES
111801,111801009Q00,YES
111801,1118010EPZ00,YES
111801,1118010PJP00,YES
111802,11180201ED00,YES
111802,1118020LHF00,YES
111804,11180402M200,YES
111804,1118040DLD00,YES
111805,1118050FLL00,YES
111806,11180601ED00,YES
111806,1118060LHF00,YES
111806,1118060WR900,YES
111809,11180907FF00,YES
111809,1118090FWM00,YES
111810,11181001ZX00,YES
111810,1118100KB700,YES
111811,1118110DDB00,YES
111811,1118110RHL00,YES
111812,11181206K300,YES
111812,1118120BSU00,YES
111812,1118120RHL00,YES
111813,11181301ZX00,YES
111813,1118130FWM00,YES
111813,1118130PJP00,YES
111814,11181400B000,YES
111814,111814035J00,YES
111814,1118140PJP00,YES
111815,11181506K300,YES
111815,1118150DDB00,YES
111815,1118150RHL00,YES
111816,11181606AK00,YES
111816,1118160FWM00,YES
111817,111817038I00,YES
111817,11181708CQ00,YES
111840,1118400J5G00,YES
111840,1118400RHL00,YES
111840,1118400YK900,YES
111845,1118450C4B00,YES
111845,1118450ZI900,YES
111846,11184607HH00,YES
111847,11184700T700,YES
111847,1118470PJP00,YES
111848,1118480PJP00,YES
111848,1118480ZI900,YES
111893,11189307HH00,YES
111893,1118930D5100,YES
111893,1118930DQ200,YES
111893,1118930QQK00,YES
111894,11189400OX00,YES
111894,111894063M00,YES
111894,1118940AIO00,YES
111894,1118940QM400,YES
111895,11189503DV00,YES
111895,111895063M00,YES
111895,1118950F7400,YES
111895,1118950PJP00,YES
111897,111897009Q00,YES
111897,1118970J5G00,YES
111898,111898009Q00,YES
111898,11189801ED00,YES
111898,1118980PJP00,YES
111901,111901040G00,YES
111901,11190106CR00,YES
111901,1119010PJP00,YES
111903,111903009Q00,YES
111903,11190306CR00,YES
111903,1119030LHF00,YES
111904,111904009Q00,YES
111904,1119040PJP00,YES
111906,111906008M00,YES
111907,111907009Q00,YES
111907,1119070PJP00,YES
111908,1119080PJP00,YES
111909,111909009Q00,YES
111909,1119090PJP00,YES
111910,1119100HT800,YES
111912,1119120MYA00,YES
111913,1119130C9A00,YES
111913,1119130YQL00,YES
114352,1143520PJP00,YES
204936,2049360807UZ,YES
205917,2059170807UZ,YES
206625,20662508QD7F,YES
206626,206626063MW1,YES
207704,2077040FS2M9,YES
207704,2077040MNGZ0,YES
207705,2077050PRPZ0,YES
207713,2077130FLL70,YES
207718,20771804WCZ9,YES
207718,2077180WWKZ0,YES
207927,2079270GMEDG,YES
208121,208121063MM9,YES
208131,20813109KFUQ,YES
208131,2081310P6Q9O,YES
208131,2081310SDK9O,YES
208137,208137001QN4,YES
208146,2081460KB7KU,YES
208158,2081580QM4IR,YES
208167,2081670IDAQT,YES
208172,20817208JD1V,YES
208172,2081720IDAQZ,YES
208172,2081720RHLIR,YES
208172,2081720T5UQT,YES
208174,20817400869K,YES
208174,208174037NHA,YES
208174,20817408079O,YES
208175,20817500869K,YES
208175,208175037NHA,YES
208175,20817508079O,YES
208176,20817600869K,YES
208176,20817600UC9O,YES
208176,20817608079O,YES
208177,20817700869K,YES
208177,20817700UC9O,YES
208177,20817708079O,YES
208184,20818400009K,YES
208184,20818408079O,YES
208185,2081850086HA,YES
208185,208185009QYK,YES
208185,20818504C308,YES
208185,20818508079O,YES
208186,2081860086HA,YES
208186,20818608079O,YES
208186,20818608CQHA,YES
208186,2081860PJPHA,YES
208406,2084060003IR,YES
208406,20840606HTIR,YES
208406,2084060C9AIR,YES
208438,20843807RM9O,YES
208457,2084570MX1M9,YES
208459,2084590YL3SP,YES
208465,2084650807IR,YES
208465,2084650C9B70,YES
208501,2085010000JO,YES
208514,2085140086HA,YES
208514,20851408079O,YES
208514,2085140LHF9O,YES
208514,2085140WR79O,YES
208525,2085250086HA,YES
208525,20852508079O,YES
208525,2085250LHFHA,YES
208525,2085250ZI908,YES
208542,208542035JQZ,YES
208542,208542040GQT,YES
208542,2085420807IR,YES
208542,2085420PPOO7,YES
208542,2085420WR908,YES
208544,208544035JQT,YES
208544,2085440807IR,YES
208544,2085440EPZKE,YES
208544,2085440EX4KU,YES
208544,2085440KB7HO,YES
208545,20854500NRSD,YES
208545,2085450LOJ08,YES
208545,2085450PEF9K,YES
208545,2085450RHL9O,YES
208546,2085460807IR,YES
208546,20854609009K,YES
208546,2085460WR9HO,YES
208547,208547040G08,YES
208547,2085470807IR,YES
208547,2085470807KE,YES
208547,2085470EX4QT,YES
208548,208548009QSD,YES
208548,20854802M208,YES
